,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Min Water Level,Max Water Level
0,16790553.166011363,102025214.62270835,92100000.0,0.0,0.019949472324224855,4.5387,8.228719240710554
1,1296541989.00101,102025214.62270835,92100000.0,0.0,2.6701764049042724,4.5387,8.23251764570074
2,11752185.340724703,102025214.62270835,92100000.0,0.0,0.014043955480736387,4.5387,8.228104454637482
3,595281715.8383651,102025214.62270835,92100000.0,0.0,0.4794376538408165,4.5387,8.22814190321064
4,32205309.367386416,102025214.62270835,92100000.0,0.0,0.03161618709723421,4.5387,8.325676215737507
5,80222487.05102208,102025214.62270835,92100000.0,0.0,0.08679666831093093,4.5387,8.228146212228442
6,97983425.22986966,102025214.62270835,92100000.0,0.0,0.1012842161761511,4.5387,8.228152231530371
7,119555716.6239426,102025214.62270835,92100000.0,0.0,0.09751386540296075,4.5387,8.228104454637482
8,341397675.96103,102025214.62270835,92100000.0,0.0,0.30807254847882265,4.5387,8.228184645350538
9,28841252.945032388,102025214.62270835,92100000.0,0.0,0.0281012935835895,4.538390111555684,8.2281203487971
10,348134043.55452424,102025214.62270835,92100000.0,0.0,0.29457977880749964,4.5387,8.228107962508334
11,82041303.52285951,102025214.62270835,92100000.0,0.0,0.09426229280607987,4.5387,8.557321813804188
12,539139824.5095812,102025214.62270835,92100000.0,0.0,0.7125860765002796,4.5387,8.22923670373211
13,2851453638.680706,102025214.62270835,92100000.0,0.0,1.6579146905472006,4.5387,8.228162260715788
14,132585997.7687343,102025214.62270835,92100000.0,0.0,0.2442455561191543,4.5387,8.228108563591638
15,4185781.796806966,102025214.62270835,92100000.0,0.0,0.0022647853170218377,4.827488167910741,8.998014998233275
16,233878750.20297718,102025214.62270835,92100000.0,0.0,0.2415539528897474,4.5387,8.228713258298221
17,40532007.777508095,102025214.62270835,92100000.0,0.0,0.03846159518777705,4.5387,8.228814469881288
18,24314255.791630138,102025214.62270835,92100000.0,0.0,0.02742907896690937,4.5387,8.228310446635577
19,116993273.57830621,102025214.62270835,92100000.0,0.0,0.12235709578269947,4.5387,8.22923670373211
20,32995281.898516677,102025214.62270835,92100000.0,0.0,0.04297145091469007,4.5387,8.22810623436511
21,155140088.36647242,102025214.62270835,92100000.0,0.0,0.16597793757455717,4.5387,8.228110279676647
22,23941965.580355503,102025214.62270835,92100000.0,0.0,0.0198486076153647,4.5387,8.228302538850398
23,37827828.02565807,102025214.62270835,92100000.0,0.0,0.03646147793742348,4.538364480847943,8.230691534763405
24,153542348.26650032,102025214.62270835,92100000.0,0.0,0.17715003644254135,4.538439656729839,8.228139953208954
25,869397915.3018765,102025214.62270835,92100000.0,0.0,0.844149519573288,4.5387,8.228457742218774
26,1280903923.616853,102025214.62270835,92100000.0,0.0,1.365922579785786,4.5387,8.228137409904804
27,96910899.92331734,102025214.62270835,92100000.0,0.0,0.09239471007960386,4.5387,8.228115014579448
28,263612742.6448179,102025214.62270835,92100000.0,0.0,0.23682340438547597,5.094369507005046,9.135882740384854
29,174892732.4807432,102025214.62270835,92100000.0,0.0,0.2035733410623637,4.5387,8.228402428114931
30,45124666.89558598,102025214.62270835,92100000.0,0.0,0.057001780774009136,4.5387,8.278186072579267
31,26391201.04420482,102025214.62270835,92100000.0,0.0,0.026053733759373122,4.5387,8.228273939917875
32,53408065.685415044,102025214.62270835,92100000.0,0.0,0.03744032646509435,4.774278675657953,8.825501982248802
33,196782115.00810945,102025214.62270835,92100000.0,0.0,0.17636524854647354,4.5387,8.228108312611047
34,53908261.69203016,102025214.62270835,92100000.0,0.0,0.035635402357241115,4.5387,8.228277551867107
35,24679640.247070245,102025214.62270835,92100000.0,0.0,0.017848629825188953,4.538608112299236,8.228140872426263
36,484379223.0976662,102025214.62270835,92100000.0,0.0,0.477663700606288,4.5387,8.228791340712934
37,67409443.59334403,102025214.62270835,92100000.0,0.0,0.07297157684016375,4.5387,8.228791340712934
38,6750534.594434573,102025214.62270835,92100000.0,0.0,0.007120043416632983,4.73740745390321,8.936795534540156
39,24537718.567433745,102025214.62270835,92100000.0,0.0,0.019713212143561434,4.5387,8.228104454637482
40,74095278.19134247,102025214.62270835,92100000.0,0.0,0.07341458049615851,4.5387,8.22835657677977
41,599279819.890238,102025214.62270835,92100000.0,0.0,0.47428285552738103,4.5387,8.314148237620724
42,2942763563.5123777,102025214.62270835,92100000.0,0.0,1.6652104237546759,4.5387,8.22814190321064
43,351645875.1527432,102025214.62270835,92100000.0,0.0,0.2582050461694964,4.827488167910741,8.998014998233275
44,2330444555.5747366,102025214.62270835,92100000.0,0.0,1.6184566007462355,4.5387,8.228115014579448
45,565915975.4688758,102025214.62270835,92100000.0,0.0,0.42135829551873166,4.538608112299236,8.228140872426263
46,145810810.7824174,102025214.62270835,92100000.0,0.0,0.12857948612684728,4.5387,8.228123274309786
47,50652501.88161243,102025214.62270835,92100000.0,0.0,0.08575512743158492,4.5387,8.228277551867107
48,176472124.96825284,102025214.62270835,92100000.0,0.0,0.15207072997633725,4.5387,8.228114620294907
49,103805407.03259864,102025214.62270835,92100000.0,0.0,0.09055723445980322,5.094369507005046,9.135882740384854
50,47617762.131867,102025214.62270835,92100000.0,0.0,0.07129719669571308,4.5387,8.228110279676647
51,260112846.71080577,102025214.62270835,92100000.0,0.0,0.23861915059722497,5.512254861939399,10.18673428483823
52,19478459.38967379,102025214.62270835,92100000.0,0.0,0.015468891167771361,4.5387,8.228277551867107
53,159453106.34527302,102025214.62270835,92100000.0,0.0,0.12401022479389975,4.5387,8.325676215737507
